Date,Log_Return,ATR,Bollinger_High,Bollinger_Low,RSI,MACD,MACD_Signal,Stoch_K,Stoch_D,SMA_10,SMA_50,EMA_10,EMA_50,On_Balance_Volume,Actual_Target,Predicted_Target,Prediction_Probability,Adj_Close,Daily_Return,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Buy_Hold_Return
2023-05-19,0.0006281686704631563,2.61776383130316,175.03414904948846,160.73941357258184,67.31016064015,2.9199549620082337,2.8702858007107617,90.00569578280603,90.7145145372463,170.7298370361328,162.0506497192383,170.38160520871378,162.4540494363845,18305787800,0,0,0.29,172.7383270263672,0.0006283660097210486,0.0,-0.044859957954033636,0.10817723468123619
2023-05-22,-0.005495801023388489,2.551235160840838,175.27751793742226,161.3933026802535,63.77428686887326,2.850547895936444,2.866338219755898,82.20520268927127,90.16930216012155,170.82250061035157,162.5615884399414,170.63796707239933,162.82022771178057,18262216900,0,0,0.27,171.79159545898438,-0.005480726736680208,-0.0,-0.044859957954033636,0.10210361808213841
2023-05-23,-0.015270822757088595,2.5746896175715763,174.876019655046,162.5853435651688,55.18858571398727,2.5560000597108115,2.804270587746881,60.75419242072437,77.6550302976005,170.82518920898437,162.9816567993164,170.3743595338452,163.06994919799905,18211469600,1,0,0.43,169.18812561035156,-0.015154815005221867,-0.0,-0.044859957954033636,0.08540144163351782
2023-05-24,0.0016306270540898207,2.524620762867751,174.2469191567604,164.0335785849388,55.8671683433779,2.318126449641028,2.707041760125711,23.785776378960588,55.58172382965203,170.67920837402343,163.36549102783204,170.20888205468015,163.3207054411535,18256613100,1,0,0.46,169.4642333984375,0.0016319572493037615,0.0,-0.044859957954033636,0.08717277038459637
2023-05-25,0.006670029463818638,2.499964805177819,174.28834377701867,164.46676181380167,58.6377996374977,2.1958111144564327,2.6047956309918554,43.04890453467122,42.52962444478534,170.62792510986327,163.76412841796875,170.27969311664882,163.6061029883831,18312671400,1,0,0.36,170.5983428955078,0.006692323650406173,0.0,-0.044859957954033636,0.09444848242791881
2023-05-26,0.014006309253590993,2.517222752623034,174.70889656461225,164.6363732107784,63.826730692409804,2.26690930708466,2.537218366210417,83.91991053226424,50.25153048196529,170.90997314453125,164.154560546875,170.775132214403,163.97467181841893,18367506400,1,0,0.41,173.00460815429688,0.014104857163020013,0.0,-0.044859957954033636,0.10988552194484869
2023-05-30,0.010603111551840546,2.588191424957406,175.4211541760861,164.70755676141388,67.22071901912864,2.443890714899055,2.5185528359481446,80.28006847804865,69.08296118166132,171.42574005126954,164.5986163330078,171.51579088138652,164.40110644839515,18423470800,0,0,0.4,174.8487548828125,0.010659523744424693,0.0,-0.044859957954033636,0.12171637301961291
2023-05-31,-0.0002820042921570048,2.585763732913938,175.8965883402358,165.1140378804673,67.03962654292926,2.550767900541416,2.5249958488667987,76.48378060309943,80.22791987113739,171.93657684326172,164.99441650390625,172.11282049119833,164.80888477337382,18323845500,1,0,0.3,174.79945373535156,-0.00028196453268414245,-0.0,-0.044859957954033636,0.12140008878669017
2023-06-01,0.015895557790654314,2.6257734336314487,176.7304653843882,165.54949524793602,71.70334294245076,2.828855500858225,2.585767779265084,99.69073502493553,85.4848613686945,172.66634826660157,165.40920227050782,173.11052389443216,165.31050455516245,18392747300,1,0,0.29,177.60018920898438,0.016022564223073354,0.0,-0.044859957954033636,0.13936779372903518
2023-06-02,0.004764131056882092,2.615729944804708,177.1191132182895,166.6784774189175,72.95146868890758,3.082149767845692,2.6850441769812057,92.69367550829084,89.62273037877522,173.2481948852539,165.8695098876953,174.08103200116182,165.82571294442846,18454744200,0,0,0.3,178.4483184814453,0.004775497572600651,0.0,-0.044859957954033636,0.14480884186228749
2023-06-05,-0.0076002149797584385,2.9156398932409116,177.87179639893003,166.54212419433168,67.81944020342314,3.137695043438214,2.775574350272607,63.042005605138904,85.14213871278838,173.6840835571289,166.2811294555664,174.62942868188097,166.26773258367115,18332797700,0,0,0.32,177.0972137451172,-0.007571406375950884,-0.0,-0.044859957954033636,0.13614102889776647
2023-06-06,-0.0020622230941331997,2.8968664989399393,178.45699014918097,166.54367208226432,66.45984490387806,3.11635235544,2.8437299513060856,60.495876666081706,72.07718592650376,174.17816162109375,166.659453125,175.01178275765403,166.67811076072846,18267949300,0,0,0.32,176.7323760986328,-0.0020600981730263257,-0.0,-0.044859957954033636,0.13380046683983382
